Name,Description,Example
acquisition_instrument_model,Manufacturers of an acquisition instrument may offer various versions (models) of that instrument with different features or sensitivities. Differences in features or sensitivities may be relevant to processing or interpretation of the data.,
acquisition_instrument_vendor,An acquisition instrument is the device that contains the signal detection hardware and signal processing software. Assays generate signals such as light of various intensities or color or signals representing the molecular mass.,
analyte_class,,
assay_category,,
assay_type,Bottom-up refers to analyzing proteins in a sample by digesting them to peptides. Top-down refers to analyzing whole proteins without digestion. LC-MS and MS are for lipids/metabolites. LC-MS Bottom-Up and MS Bottom-Up are for peptides. LC-MS Top-Down and MS Top-Down are for proteins.,
contributors_path,Relative path to file with ORCID IDs for contributors for this dataset.,
data_collection_mode,"Mode of data collection in tandem MS assays. Either DDA (Data-dependent acquisition), DIA (Data-independent acquisition), MRM (multiple reaction monitoring), or PRM (parallel reaction monitoring).",
data_path,Relative path to file or directory with instrument data. Downstream processing will depend on filename extension conventions.,
description,Free-text description of this assay.,
dms,Was differential mobility spectrometry used in this assay?,
donor_id,HuBMAP Display ID of the donor of the assayed tissue.,ABC123
execution_datetime,"Start date and time of assay, typically a date-time stamped folder generated by the acquisition instrument. YYYY-MM-DD hh:mm, where YYYY is the year, MM is the month with leading 0s, and DD is the day with leading 0s, hh is the hour with leading zeros, mm are the minutes with leading zeros.",
ion_mobility,"Specifies whether or not ion mobility spectrometry was performed and which technology was used. Technologies for measuring ion mobility: Traveling Wave Ion Mobility Spectrometry (TWIMS), Trapped Ion Mobility Spectrometry (TIMS), High Field Asymmetric waveform ion Mobility Spectrometry (FAIMS), Drift Tube Ion Mobility Spectrometry (DTIMS, Structures for Lossless Ion Manipulations (SLIM).",
is_targeted,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay.,
label_name,"If the samples were labeled (e.g. TMT), provide the name/ID of the label on this sample.",
labeling,"Indicates whether samples were labeled prior to MS analysis (e.g., TMT)",
lc_column_model,"The model number/name of the LC Column - IF custom self-packed, pulled tip calillary is used enter ""Pulled tip capilary""",
lc_column_vendor,"OPTIONAL: The manufacturer of the LC Column unless self-packed, pulled tip capilary is used",
lc_flow_rate_unit,Units of flow rate.,
lc_flow_rate_value,Value of flow rate.,
lc_gradient,LC gradient,
lc_id_unit,units of LC column inner diameter (typically microns),
lc_id_value,LC column inner diameter (microns),
lc_instrument_model,The model number/name of the instrument used for LC,
lc_instrument_vendor,The manufacturer of the instrument used for LC,
lc_length_unit,units for LC column length (typically cm),
lc_length_value,LC column length,
lc_mobile_phase_a,Composition of mobile phase A,
lc_mobile_phase_b,Composition of mobile phase B,
lc_resin,"Details of the resin used for lc, including vendor, particle size, pore size",
lc_temp_unit,units for LC temperature,
lc_temp_value,LC temperature,
mass_resolving_power,The MS1 resolving power defined as m/∆m where ∆m is the FWHM for a given peak with a specified m/z (m). (unitless),
ms_scan_mode,"Indicates whether experiment is MS, MS/MS, or other (possibly MS3 for TMT)",
ms_source,The ion source type used for surface sampling.,
mz_range_high_value,The high value of the scanned mass range for MS1. (unitless),
mz_range_low_value,The low value of the scanned mass range for MS1. (unitless),
mz_resolving_power,The peak (m/z) used to calculate the resolving power.,
operator,Name of the person responsible for executing the assay.,
operator_email,Email address for the operator.,
overall_protocols_io_doi,DOI for protocols.io for the overall process for this assay.,
pi,Name of the principal investigator responsible for the data.,
pi_email,Email address for the principal investigator.,
polarity,The polarity of the mass analysis (positive or negative ion modes),
processing_protocols_io_doi,DOI for analysis protocols.io for this assay.,
processing_search,Software for analyzing and searching LC-MS/MS omics data,
protocols_io_doi,DOI for protocols.io referring to the protocol for this assay.,
resolution_x_unit,The unit of measurement of the width of a pixel.,
resolution_x_value,The width of a pixel.,
resolution_y_unit,The unit of measurement of the height of a pixel.,
resolution_y_value,The height of a pixel,
section_prep_protocols_io_doi,DOI for protocols.io referring to the protocol for preparing tissue sections for the assay.,
spatial_sampling_type,Specifies whether or not the analysis was performed in a spatially targeted manner. Spatial profiling experiments target specific tissue foci but do not necessarily generate images. Spatial imaging expriments collect data from a regular array (pixels) that can be visualized as heat maps of ion intensity at each location (molecular images). Leave blank if data are derived from bulk analysis.,
spatial_target,Specifies the cell-type or functional tissue unit (FTU) that is targeted in the spatial profiling experiment. Leave blank if data are generated in imaging mode without a specific target structure.,
spatial_type,"Specifies whether or not the analysis was performed in a spatialy targeted manner and the technique used for spatial sampling. For example, Laser-capture microdissection (LCM), Liquid Extraction Surface Analysis (LESA), Nanodroplet Processing in One pot for Trace Samples (nanoPOTS).",
tissue_id,HuBMAP Display ID of the assayed tissue.,ABC123-BL-1-2-3_456
version,Version of the schema to use when validating this metadata.,
