cedar-rnaseq-v5.0.0,bulkrnaseq-v0,bulkrnaseq-v1,scrnaseq-v0,scrnaseq-v1,scrnaseq-v2,scrnaseq-v3
parent_sample_id,tissue_id,tissue_id,tissue_id,tissue_id,tissue_id,tissue_id
lab_id,,,,,,
preparation_protocol_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi
dataset_type,assay_type,assay_type,assay_type,assay_type,assay_type,assay_type
analyte_class,analyte_class,analyte_class,analyte_class,analyte_class,analyte_class,analyte_class
is_targeted,is_targeted,is_targeted,is_targeted,is_targeted,is_targeted,is_targeted
acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor
acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model
source_storage_duration_value,,,,,,
source_storage_duration_unit,,,,,,
time_since_acquisition_instrument_calibration_value,,,,,,
time_since_acquisition_instrument_calibration_unit,,,,,,
contributors_path,contributors_path,contributors_path,contributors_path,contributors_path,contributors_path,contributors_path
data_path,data_path,data_path,data_path,data_path,data_path,data_path
barcode_offset,,,cell_barcode_offset,cell_barcode_offset,cell_barcode_offset,cell_barcode_offset
barcode_read,,,cell_barcode_read,cell_barcode_read,cell_barcode_read,cell_barcode_read
barcode_size,,,cell_barcode_size,cell_barcode_size,cell_barcode_size,cell_barcode_size
umi_offset,,,,,,umi_offset
umi_read,,,,,,umi_read
umi_size,,,,,,umi_size
assay_input_entity,,,sc_isolation_entity,sc_isolation_entity,sc_isolation_entity,sc_isolation_entity
number_of_input_cells_or_nuclei,,,sc_isolation_cell_number,sc_isolation_cell_number,sc_isolation_cell_number,sc_isolation_cell_number
amount_of_input_analyte_value,rnaseq_assay_input_value,rnaseq_assay_input_value,rnaseq_assay_input,rnaseq_assay_input,rnaseq_assay_input,rnaseq_assay_input
amount_of_input_analyte_unit,rnaseq_assay_input_unit,rnaseq_assay_input_unit,,,,
library_adapter_sequence,library_adapter_sequence,library_adapter_sequence,library_adapter_sequence,library_adapter_sequence,library_adapter_sequence,library_adapter_sequence
library_average_fragment_size,library_average_fragment_size,library_average_fragment_size,library_average_fragment_size,library_average_fragment_size,library_average_fragment_size,library_average_fragment_size
library_input_amount_value,,,,,,
library_input_amount_unit,,,,,,
library_output_amount_value,library_final_yield_value,library_final_yield_value,library_final_yield_value,library_final_yield_value,library_final_yield_value,library_final_yield_value
