Name,Description,Example
acquisition_id,"The acquisition_id refers to the directory containing the ROI images for a slide. Together, the acquisition_id and the roi_id indicate the slide-ROI represented in the image.",
acquisition_instrument_model,Manufacturers of an acquisition instrument may offer various versions (models) of that instrument with different features or sensitivities. Differences in features or sensitivities may be relevant to processing or interpretation of the data.,
acquisition_instrument_vendor,An acquisition instrument is the device that contains the signal detection hardware and signal processing software. Assays generate signals such as light of various intensities or color or signals representing the molecular mass.,
analyte_class,,
antibodies_path,Relative path to file with antibody information for this dataset.,
area_normalized_ion_dose_unit,Area normalized ion dose unit,
area_normalized_ion_dose_value,Number of primary ions delivered to the sample per unit area,
assay_category,,
assay_type,,
contributors_path,Relative path to file with ORCID IDs for contributors for this dataset.,
data_path,Relative path to file or directory with instrument data. Downstream processing will depend on filename extension conventions.,
data_precision_bytes,Numerical data precision in bytes,
description,Free-text description of this assay.,
donor_id,HuBMAP Display ID of the donor of the assayed tissue.,ABC123
dual_count_start,Threshold for dual counting.,
end_datetime,Time stamp indicating end of ablation for ROI,
execution_datetime,"Start date and time of assay, typically a date-time stamped folder generated by the acquisition instrument. YYYY-MM-DD hh:mm, where YYYY is the year, MM is the month with leading 0s, and DD is the day with leading 0s, hh is the hour with leading zeros, mm are the minutes with leading zeros.",
is_targeted,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay.,
max_x_width_unit,Units of image width of the ROI acquisition,
max_x_width_value,Image width value of the ROI acquisition,
max_y_height_unit,Units of image height of the ROI acquisition,
max_y_height_value,Image height value of the ROI acquisition,
number_of_antibodies,Number of antibodies,
number_of_channels,Number of fluorescent channels imaged during each cycle.,
operator,Name of the person responsible for executing the assay.,
operator_email,Email address for the operator.,
pi,Name of the principal investigator responsible for the data.,
pi_email,Email address for the principal investigator.,
pixel_dwell_time_unit,Pixel dwell time unit.,
pixel_dwell_time_value,Resident time of primary ion beam on each pixel.,
pixel_size_x_unit,Width unit of the pixel or voxel measurement.,
pixel_size_x_value,Width value of the pixel or voxel measurement (distinct from the image resolution_x_value).,
pixel_size_y_unit,Length unit of the pixel or voxel measurement.,
pixel_size_y_value,Length value of the pixel or voxel measurement (distinct from the image resolution_y_value).,
preparation_instrument_model,The model number/name of the instrument used to prepare the sample for the assay,
preparation_instrument_vendor,The manufacturer of the instrument used to prepare the sample for the assay.,
primary_ion,Primary ion.,
primary_ion_current_unit,"Primary ion current unit, typically nA or pA",
primary_ion_current_value,Primary ion current value.,
protocols_io_doi,DOI for protocols.io referring to the protocol for this assay.,
reagent_prep_protocols_io_doi,DOI for protocols.io referring to the protocol for preparing reagents for the assay.,
resolution_x_unit,The unit of measurement of width of a pixel.(nm),
resolution_x_value,The width of a pixel. (Akoya pixel is 377nm square),
resolution_y_unit,The unit of measurement of height of a pixel. (nm),
resolution_y_value,The height of a pixel. (Akoya pixel is 377nm square),
roi_description,A description of the region of interest (ROI) captured in the image.,
roi_id,"Multiple images (1-n) are acquired from regions of interest (ROI1, ROI2, ROI3, etc) on a slide. The roi_id is a number from 1-n representing the ROI captured on a slide.",
section_prep_protocols_io_doi,DOI for protocols.io referring to the protocol for preparing tissue sections for the assay.,
segment_data_format,"This refers to the data type, which is a ""float"" for the IMC counts.",
signal_type,Type of signal measured per channel (usually dual counts),
start_datetime,Time stamp indicating start of ablation for ROI,
tissue_id,HuBMAP Display ID of the assayed tissue.,ABC123-BL-1-2-3_456
version,Version of the schema to use when validating this metadata.,
